Date,Price,Open,High,Low,Vol.,Change %,Ticker,WCP,WAP,VWAP,ZLMA,FWMA,Decay,SMA,Bollinger_Upper,Bollinger_Lower,Avg_Gain,Avg_Loss,RSI,MACD,MACD_Signal,MACD_Hist
2016-02-22,8985.5,8892.3,8985.5,8892.3,2090000.0,0.0105,FPT,8962.2,8954.433333333332,8646.461526051544,8811.119002487962,8913.577171089779,8712.965497991512,8665.775,9046.615239332368,8284.934760667631,46.77100085296073,28.16764688016377,62.41238969179709,57.023105502858016,8.71175656816081,48.31134893469721
2016-02-23,8910.9,9041.4,9041.4,8910.9,2940000.0,-0.0083,FPT,8943.525,8954.4,8687.371210665673,8834.091980615221,8912.562936194241,8747.706157080416,8690.939999999999,9066.426493695,8315.453506304997,43.43021507774925,31.48424353158067,57.97307473612365,61.54334049552017,19.278073353632685,42.265267141887485
2016-02-24,8910.9,8892.3,8948.2,8873.6,2650000.0,0.0,FPT,8910.900000000001,8910.900000000001,8717.670857668609,8853.594196446242,8911.94265386787,8775.672279747234,8717.97,9073.575630764723,8362.364369235276,40.32805685791002,29.235368993610624,57.97307473612364,64.38348653825597,28.29915599055734,36.08433054769863
2016-02-25,8873.6,8948.2,9004.1,8873.6,2720000.0,-0.0042,FPT,8906.225,8917.1,8751.103019495455,8863.311935968268,8897.302670807452,8798.330972488004,8743.135,9064.757107612739,8421.512892387262,37.44748136805931,29.811414065495526,55.67662258898339,62.89945866247035,35.219216524939945,27.680242137530406
2016-02-26,8892.3,8910.9,8910.9,8836.4,1550000.0,0.0021,FPT,8882.974999999999,8879.866666666667,8782.796960136897,8874.752426271167,8895.411569734613,8819.791490917785,8770.164999999999,9039.96419452885,8500.365805471149,36.108375556054995,27.682027346531562,56.604714679723216,62.51169370380558,40.677711960713076,21.8339817430925
2016-02-29,8910.9,8929.6,8929.6,8873.6,2080000.0,0.0021,FPT,8906.25,8904.699999999999,8800.579255404562,8887.650855509855,8901.326595143986,8828.665913517087,8776.689999999999,9053.746026254988,8499.633973745009,34.8577773020511,25.704739678922166,57.556685289355215,62.97926595894023,45.13802276035851,17.841243198581722
2016-03-01,8985.5,8910.9,9116.0,8873.6,4910000.0,0.0084,FPT,8990.15,8991.699999999999,8834.52592480894,8911.953190052094,8933.488616600791,8863.380343244204,8798.13,9069.819738682301,8526.440261317697,37.69650749476176,23.86868684471344,61.230225778059484,68.57888221627945,49.8261946515427,18.752687564736753
2016-03-02,9078.7,9022.8,9097.3,9004.1,3280000.0,0.0104,FPT,9064.7,9060.033333333335,8856.757487271781,8949.421058554453,8988.963433088651,8889.821295173973,8820.5,9107.591285684157,8533.408714315843,41.6610426737074,22.163780641519626,65.2740430912687,79.61927806215681,55.78481133366552,23.834466728491286
2016-03-03,9097.3,9116.0,9190.6,9097.3,3360000.0,0.0021,FPT,9120.625,9128.4,8887.702586797128,8984.6387825797,9030.355415019763,8918.499810533198,8846.595000000001,9134.75684396235,8558.433156037652,40.013825339871055,20.580653452839652,66.03543117642027,88.84557933101132,62.39696493313468,26.44861439787664
2016-03-04,9134.6,9060.1,9190.6,9060.1,3460000.0,0.0040999999999999,FPT,9129.975,9128.433333333334,8915.962573229725,9021.256114196014,9070.185623941275,8946.829038165059,8870.829999999998,9170.632806068097,8571.0271939319,39.819980672737486,19.11060677763682,67.57098884559747,98.03717628716913,69.52500720394158,28.512169083227548
