Date,Price,Open,High,Low,Vol.,Change %,Ticker
2025-10-01,93400.0,93200.0,94500.0,91400.0,7410000.0,0.43%,FPT
2025-09-26,97500.0,98200.0,99300.0,97400.0,8080000.0,-0.51%,FPT
2025-09-25,98000.0,99500.0,99500.0,97900.0,8630000.0,-1.51%,FPT
2025-09-24,99500.0,98100.0,99500.0,97400.0,7420000.0,1.53%,FPT
2025-09-18,103000.0,106000.0,106300.0,103000.0,8200000.0,-2.37%,FPT
2025-09-12,101600.0,102000.0,102900.0,101100.0,7450000.0,-0.39%,FPT
2025-09-11,102000.0,101200.0,102900.0,100500.0,7410000.0,0.79%,FPT
2025-09-10,101200.0,102100.0,102900.0,101100.0,5500000.0,-0.88%,FPT
2025-09-09,102100.0,102000.0,103000.0,101000.0,6460000.0,0.20%,FPT
2025-09-05,103400.0,105200.0,105500.0,103400.0,8810000.0,-1.52%,FPT
2025-08-28,104500.0,105100.0,105100.0,102800.0,6280000.0,-0.48%,FPT
2025-08-26,100000.0,98800.0,100000.0,97900.0,5810000.0,1.21%,FPT
2025-08-25,98800.0,102000.0,102000.0,98800.0,6740000.0,-0.20%,FPT
2025-08-22,99000.0,101600.0,101600.0,98800.0,7210000.0,-2.65%,FPT
2025-08-19,100300.0,100600.0,101500.0,100000.0,9150000.0,-0.20%,FPT
2025-08-08,105600.0,106500.0,107400.0,104800.0,9180000.0,-0.56%,FPT
2025-08-04,106600.0,106500.0,106600.0,104800.0,4620000.0,-0.37%,FPT
2025-07-31,104000.0,106100.0,106900.0,103800.0,8940000.0,-1.98%,FPT
2025-07-30,106100.0,107000.0,108000.0,105300.0,7490000.0,0.09%,FPT
2025-07-28,111300.0,110800.0,111600.0,110500.0,7610000.0,0.54%,FPT
2025-07-25,110700.0,111100.0,111500.0,110500.0,5140000.0,-0.36%,FPT
2025-07-24,111100.0,112000.0,112100.0,110800.0,6420000.0,-0.63%,FPT
2025-07-23,111800.0,112300.0,112800.0,111300.0,4800000.0,-0.27%,FPT
2025-07-22,112100.0,110300.0,112200.0,108700.0,6890000.0,1.63%,FPT
2025-07-21,110300.0,112400.0,112400.0,110300.0,7560000.0,0.67%,FPT
2025-07-18,109565.2,111304.3,111304.3,109565.2,7470000.0,-0.79%,FPT
2025-07-16,109826.1,110173.9,110434.8,108782.6,5820000.0,0.24%,FPT
2025-07-15,109565.2,110086.9,111130.4,109565.2,6440000.0,-0.87%,FPT
2025-07-14,110521.7,110608.7,111217.4,108695.6,6880000.0,0.39%,FPT
2025-07-10,107739.1,107652.1,108956.5,107391.3,5960000.0,0.90%,FPT
2025-07-08,108260.8,107913.0,109304.3,107826.1,9270000.0,0.57%,FPT
2025-07-07,107652.1,107217.4,108434.8,106956.5,7340000.0,1.06%,FPT
2025-07-03,102608.7,103043.5,104173.9,102434.8,7250000.0,-0.51%,FPT
2025-07-02,103130.4,103043.5,103217.4,102260.8,4210000.0,-0.17%,FPT
2025-07-01,103304.3,103478.2,103913.0,102782.6,5300000.0,0.51%,FPT
2025-06-30,102782.6,102521.7,103913.0,102260.8,7890000.0,0.77%,FPT
2025-06-27,102000.0,101739.1,102869.5,101652.1,6050000.0,0.26%,FPT
2025-06-26,101739.1,102608.7,102869.5,101391.3,4750000.0,-0.09%,FPT
2025-06-25,101826.1,101739.1,103826.1,101739.1,6900000.0,0.52%,FPT
2025-06-24,101304.3,101130.4,101739.1,101130.4,4910000.0,0.52%,FPT
2025-06-23,100782.6,100434.8,101130.4,99565.2,5280000.0,-0.17%,FPT
2025-06-20,100956.5,100956.5,101652.1,100695.6,4990000.0,0.09%,FPT
2025-06-19,100869.5,101739.1,101826.1,100608.7,6220000.0,-0.85%,FPT
2025-06-18,101739.1,103304.3,103913.0,101217.4,7540000.0,-1.52%,FPT
2025-06-17,103304.3,103478.2,103739.1,102782.6,5290000.0,-0.17%,FPT
2025-06-16,103478.2,100086.9,104173.9,100000.0,9280000.0,3.12%,FPT
2025-06-13,100347.8,100869.5,101304.3,99913.0,7090000.0,-1.37%,FPT
2025-06-12,101739.1,102260.8,102347.8,101304.3,4780000.0,0.09%,FPT
2025-06-11,101652.1,100100.2,101910.8,100100.2,6610000.0,1.90%,FPT
2025-06-10,99755.3,100876.2,101221.0,99755.3,3860000.0,-0.43%,FPT
2025-06-09,100186.4,99582.9,100789.9,99151.8,3510000.0,1.04%,FPT
2025-06-06,99151.8,100703.7,100703.7,99151.8,6190000.0,-1.54%,FPT
2025-06-05,100703.7,100962.4,101134.8,100445.1,2650000.0,-0.26%,FPT
2025-06-04,100962.4,101738.3,101910.8,100445.1,3300000.0,-0.26%,FPT
2025-06-03,101221.0,100617.5,101738.3,100272.6,3910000.0,1.12%,FPT
2025-06-02,100100.2,100445.1,100962.4,99669.1,3350000.0,-0.34%,FPT
2025-05-30,100445.1,101738.3,101910.8,100445.1,4640000.0,-0.51%,FPT
2025-05-29,100962.4,102600.5,102600.5,100962.4,3370000.0,-1.10%,FPT
2025-05-28,102083.2,102773.0,102945.4,101307.3,4520000.0,-0.50%,FPT
2025-05-27,102600.5,101221.0,102945.4,101221.0,6320000.0,1.45%,FPT
2025-05-26,101134.8,100617.5,101565.9,99151.8,4630000.0,0.17%,FPT
2025-05-23,100962.4,100617.5,101565.9,100014.0,5110000.0,0.26%,FPT
2025-05-22,100703.7,100962.4,101393.5,99669.1,7300000.0,-1.27%,FPT
2025-05-21,101997.0,103462.7,103462.7,100876.2,6930000.0,-0.76%,FPT
2025-05-20,102773.0,100703.7,102859.2,100703.7,9100000.0,0.85%,FPT
2025-05-16,104324.9,107342.6,107515.0,104238.7,9210000.0,-3.20%,FPT
2025-05-15,107773.7,109067.0,109411.8,106566.6,8980000.0,-1.03%,FPT
2025-05-07,94582.2,94496.0,95875.5,93892.4,4520000.0,0.00%,FPT
2025-05-06,94582.2,93633.8,95703.0,93633.8,6540000.0,1.01%,FPT
2025-05-05,93633.8,94409.7,94582.2,92168.0,8240000.0,-0.73%,FPT
2025-04-29,94323.5,94496.0,95271.9,94064.9,3390000.0,-0.09%,FPT
2025-04-28,94409.7,96565.2,96910.1,94151.1,4430000.0,-2.58%,FPT
2025-04-25,96910.1,96565.2,96910.1,95013.3,6190000.0,0.36%,FPT
2025-04-24,96565.2,96134.1,98030.9,95358.1,8900000.0,1.45%,FPT
2025-04-23,95185.7,96306.5,96306.5,92857.8,6570000.0,0.00%,FPT
2025-04-21,96306.5,96565.2,96996.3,94840.8,4980000.0,0.09%,FPT
2025-04-18,96220.3,95271.9,99151.8,95271.9,8610000.0,2.01%,FPT
2025-04-15,100014.0,100100.2,100876.2,98030.9,8930000.0,-2.11%,FPT
2025-04-10,97082.5,97082.5,97082.5,97082.5,1160000.0,6.93%,FPT
2025-04-02,105187.1,104497.4,105445.8,104152.5,4510000.0,1.24%,FPT
2025-04-01,103893.8,105187.1,105359.5,102428.1,9000000.0,-0.41%,FPT
2025-03-31,104324.9,106394.2,106394.2,104324.9,6220000.0,-2.42%,FPT
2025-03-28,106911.5,108722.1,108980.7,106911.5,3390000.0,-1.74%,FPT
2025-03-27,108808.3,105187.1,109067.0,104411.1,7430000.0,2.60%,FPT
2025-03-25,109067.0,111912.2,111998.4,109067.0,6470000.0,-1.94%,FPT
2025-03-24,111222.4,110791.3,111481.1,109756.7,5850000.0,0.78%,FPT
2025-03-21,110360.2,107773.7,111222.4,107773.7,7390000.0,2.40%,FPT
2025-03-18,112084.6,112170.8,113981.4,112084.6,6330000.0,0.00%,FPT
2025-03-17,112084.6,113464.1,113895.2,111739.7,7710000.0,-1.07%,FPT
2025-03-13,117688.8,117344.0,118982.1,117344.0,4150000.0,0.44%,FPT
2025-03-12,117171.5,118723.5,119585.7,117171.5,7110000.0,-1.16%,FPT
2025-03-11,118551.0,118982.1,119413.2,118119.9,6650000.0,-1.29%,FPT
2025-03-10,120103.0,121999.8,121999.8,120016.8,6120000.0,-1.49%,FPT
2025-03-07,121913.6,122172.2,123034.4,121654.9,3400000.0,-0.14%,FPT
2025-03-06,122086.0,120275.4,123724.2,120275.4,7380000.0,1.80%,FPT
2025-03-05,119930.5,120706.5,120792.7,119930.5,3280000.0,-0.64%,FPT
2025-03-04,120706.5,120275.4,121223.8,120103.0,3990000.0,-0.36%,FPT
2025-03-03,121137.6,121137.6,121913.6,120965.2,2910000.0,0.14%,FPT
2025-02-28,120965.2,120792.7,121654.9,119844.3,5400000.0,-0.71%,FPT
2025-02-27,121827.4,122430.9,122603.3,121310.0,3930000.0,-0.35%,FPT
2025-02-26,122258.5,119930.5,122258.5,119758.1,3820000.0,2.01%,FPT
2025-02-25,119844.3,121051.4,121051.4,119154.6,7830000.0,-1.07%,FPT
2025-02-24,121137.6,122430.9,122430.9,120275.4,8620000.0,-1.06%,FPT
2025-02-21,122430.9,123120.6,123206.9,121999.8,6110000.0,-0.70%,FPT
2025-02-20,123293.1,124327.7,124672.6,123293.1,3890000.0,-0.69%,FPT
2025-02-19,124155.3,124069.0,124931.2,123379.3,3480000.0,0.07%,FPT
2025-02-18,124069.0,123982.8,124500.1,123379.3,1910000.0,0.21%,FPT
2025-02-17,123810.4,125017.5,125017.5,123638.0,2840000.0,-0.90%,FPT
2025-02-14,124931.2,124155.3,125017.5,123810.4,3740000.0,1.26%,FPT
2025-02-13,123379.3,125017.5,125017.5,123034.4,3280000.0,-1.31%,FPT
2025-02-12,125017.5,125534.8,125621.0,124413.9,2170000.0,-0.28%,FPT
2025-02-11,125362.3,122603.3,125362.3,120792.7,6170000.0,2.39%,FPT
2025-02-10,122430.9,125448.5,125448.5,122430.9,8910000.0,-2.81%,FPT
2025-02-07,125965.9,126310.7,126483.2,125707.2,4450000.0,-0.27%,FPT
